Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
531503,BSE,Maris Spinners Ltd.,MARIS,MARIS SPINNERS LTD.-$,Active,X ,10,INE866D01010,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531506,BSE,Shukra Bullions Limited,SKRABUL,SHUKRA BULLIONS LTD.,Active,X ,10,INE561E01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
531508,BSE,Eveready Industries India Ltd.,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Active,A ,5,INE128A01029,Batteries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Batteries
531509,BSE,Step Two Corporation Ltd.,STEP2COR,STEP TWO CORPORATION LTD.,Active,X ,10,INE623D01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
531512,BSE,Orient Tradelink Ltd.,ORIENTTR,ORIENT TRADELINK LTD.,Active,X ,10,INE681D01039,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
531515,BSE,Mahan Industries Ltd.,MAHANIN,MAHAN INDUSTRIES LTD.,Active,XT,10,INE735D01033,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
531518,BSE,VIKAS PROPPANT & GRANITE LTD.,VIKASPROP,Vikas Proppant & Granite Ltd,Active,T ,1,INE767B01022,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
531521,BSE,Desh Rakshak Aushdhalaya Ltd.,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.,Active,P ,10,INE971E01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
531525,BSE,Ace Software Exports ltd.,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,Active,XT,10,INE849B01010,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
531531,BSE,Hatsun Agro Products Ltd.,HATSUN,HATSUN AGRO PRODUCT LTD.,Active,A ,1,INE473B01035,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
531533,BSE,e.Com Infotech (India) Ltd.,ECOM,E.COM INFOTECH (I) LTD.,Active,XT,10,INE578B01015,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
531539,BSE,Rishabh Digha Steel And Allied Prod,RISHDIGA,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,Active,X ,10,INE864D01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
531540,BSE,Maruti Infrastructure Ltd.,MAINFRA,MARUTI INFRASTRUCTURE LTD.,Active,X ,10,INE392G01010,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
531541,BSE,KOBO BIOTECH LIMITED,KOBO,Kobo Biotech Ltd-$,Active,Z ,10,INE881A01015,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
531543,BSE,Jindal Worldwide Ltd.,JINDWORLD,JINDAL WORLDWIDE LTD.,Active,B ,1,INE247D01039,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531548,BSE,Somany Ceramics Limited,SOMANYCERA,SOMANY CERAMICS LTD.,Active,A ,2,INE355A01028,Furniture- Home Furnishing- Flooring,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring"
531550,BSE,Jhaveri Credits & Capital Ltd.,JHACC,JHAVERI CREDITS & CAPITAL LTD.,Active,X ,10,INE865D01012,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
531552,BSE,Raghunath Tobacco Co. Ltd.,RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,Active,X ,10,INE754B01012,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531553,BSE,DISHA RESOURCES LIMITED,DRL,Disha Resources Ltd,Active,XT,10,INE193D01019,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
531556,BSE,Coral India Finance And Housing Ltd,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,Active,B ,2,INE558D01021,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
531569,BSE,Sanjivani Paranteral Ltd.,SANJIVIN,SANJIVANI PARANTERAL LTD.,Active,X ,10,INE860D01013,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
531574,BSE,Vas Infrastructure  Ltd.,VASINFRA,VAS INFRASTRUCTURE LTD.,Active,X ,10,INE192C01013,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531578,BSE,KMF Builders & Developers Ltd.,KMFBLDR,KMF BUILDERS & DEVELOPERS LTD.,Active,X ,5,INE580H01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531582,BSE,Beryl Securities Ltd,BERYLSE,BERYL SECURITIES LTD.,Active,XT,10,INE508J01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
531583,BSE,Rap Media Ltd.,RAP,RAP MEDIA LTD.,Active,X ,10,INE483D01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
